propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;SECTOR
945;2100;116;273;288;286;
946;2100;105;125;105;188;
947;2100;152;18;242;228;
948;2100;164;149;251;108;
949;2100;58;59;83;82;
950;2100;172;206;272;249;
951;2100;118;206;202;222;
952;2100;60;245;277;327;
953;2100;43;218;204;263;
954;2100;147;140;237;112;
955;2100;1032;1231;570;745;
956;2102;68;106;100;151;
957;2102;197;303;1175;1116;
958;2102;436;561;1155;517;
959;2102;18;80;59;117;
960;2102;156;198;245;348;
961;2102;1136;635;1283;940;
962;2102;93;139;287;359;
963;2107;1182;593;534;1323;
964;2112;269;380;473;348;
965;2117;9;172;87;57;
966;2117;673;996;1069;1184;
967;2117;215;176;203;394;
968;2120;72;18;36;18;
969;2121;24;111;345;169;
970;2121;157;95;230;29;
971;2123;217;198;131;144;
972;2126;488;1373;1011;1227;
973;2130;145;54;141;125;
974;2130;78;255;57;232;
975;2136;172;64;295;372;
976;2137;216;170;168;278;
977;2140;47;297;27;92;
978;2140;51;71;645;207;
979;2140;69;126;65;170;
980;2140;158;166;146;856;
981;2140;85;16;200;184;
982;2140;1157;1140;645;912;
983;2140;33;38;169;91;
984;2140;78;94;227;371;
985;2140;116;400;783;197;
986;2140;416;443;1188;499;
987;2141;85;186;353;250;
988;2150;56;235;308;269;
989;2150;952;1367;1307;1316;
990;2150;72;207;164;42;
991;2150;34;199;220;197;
992;2150;79;195;231;176;
993;2150;20;112;278;134;
994;2150;166;61;965;163;
995;2150;268;290;720;904;
996;2153;137;73;154;114;
997;2153;32;51;230;78;
998;2158;155;146;277;183;
999;2159;81;149;215;104;
1000;2159;189;123;1;204;
1001;2160;983;1320;925;1266;
1002;2166;66;219;20;120;
1003;2170;151;29;240;247;
1004;2174;15;258;14;232;
1005;2177;65;57;64;189;
1006;2177;905;132;65;392;
1007;2177;631;153;101;340;
1008;2177;84;159;10;110;
1009;2177;119;261;76;104;
1010;2177;157;54;10;10;
1011;2177;100;134;223;618;
1012;2177;142;1279;382;234;
1013;2177;197;891;362;733;
1014;2177;43;193;185;41;
1015;2177;1031;637;965;837;
1016;2177;189;677;25;744;
1017;2177;74;92;626;136;
1018;2180;194;151;5;175;
1019;2180;195;169;35;113;
1020;2180;73;56;229;144;
1021;2185;54;5;131;33;
1022;2188;281;344;1052;969;
1023;2190;1059;856;610;1148;
1024;2190;617;1176;897;574;
1025;2190;45;132;97;143;
1026;2190;918;783;409;694;
1027;2190;69;26;142;82;
1028;2190;188;679;254;623;
1029;2196;117;5;336;377;
1030;2196;166;136;112;390;
1031;2196;165;34;1202;57;
1032;2196;149;112;243;115;
1033;2196;200;203;347;144;
1034;2196;37;38;608;1057;
1035;2196;107;296;1093;749;
1036;2199;264;55;197;1229;
1037;2200;222;170;65;884;
1038;2200;34;88;31;46;
1039;2200;79;197;110;152;
1040;2200;97;264;165;22;
1041;2200;82;252;129;33;
1042;2200;268;78;131;369;
1043;2200;46;38;43;30;
1044;2200;201;68;156;341;
1045;2200;236;9;159;381;
1046;2200;68;122;260;109;
1047;2200;287;158;96;67;
1048;2200;101;144;172;189;
1049;2200;112;271;198;177;
1050;2200;135;203;126;130;
1051;2200;111;253;123;127;
1052;2200;135;259;168;164;
1053;2200;4;54;283;144;
1054;2200;1;88;189;400;
1055;2200;23;143;1235;103;
1056;2200;72;99;86;80;
1057;2204;90;86;1257;367;
1058;2206;970;1206;606;1112;
1059;2207;1367;971;799;1224;
1060;2211;195;46;243;112;
1061;2213;84;159;236;1178;
1062;2215;16;59;100;46;
1063;2215;187;39;228;217;
1064;2215;556;1162;1134;453;
1065;2215;1188;431;1357;1393;
1066;2215;91;93;346;112;
1067;2215;60;105;62;99;
1068;2215;93;171;70;298;
1069;2215;83;391;11;127;
1070;2215;40;121;63;262;
1071;2215;189;193;243;166;
1072;2215;41;64;134;232;
1073;2215;79;49;309;302;
1074;2219;1085;981;810;791;
1075;2220;1395;1251;960;1003;
1076;2220;143;81;125;1272;
1077;2225;88;136;43;133;
1078;2229;273;96;167;360;
1079;2230;1086;1351;1220;735;
1080;2230;33;357;77;256;
1081;2230;97;336;2;223;
1082;2231;73;23;197;78;
1083;2231;747;704;806;710;
1084;2233;1025;1199;1053;735;
1085;2234;149;105;130;197;
1086;2234;749;1098;1217;898;
1087;2240;58;164;81;69;
1088;2241;182;80;42;1221;
1089;2243;77;76;106;365;
1090;2244;62;124;85;157;
1091;2247;100;178;26;300;
1092;2250;1287;1124;1106;565;
1093;2250;848;468;1393;587;
1094;2250;1327;515;974;1291;
1095;2250;1159;778;960;1269;
1096;2250;198;357;178;164;
1097;2250;159;175;67;223;
1098;2250;11;93;172;21;
1099;2252;22;81;87;86;
1100;2252;564;643;1115;579;
1101;2252;57;122;50;68;
1102;2252;102;107;29;291;
1103;2252;86;138;46;118;
1104;2252;141;104;199;370;
1105;2252;60;13;81;247;
1106;2252;138;81;229;140;
1107;2252;57;81;29;40;
1108;2252;52;8;391;169;
1109;2252;576;418;447;878;
1110;2252;196;149;77;108;
1111;2252;36;143;122;283;
1112;2252;156;197;79;3;
1113;2252;11;85;474;70;
1114;2252;21;306;46;211;
1115;2252;190;52;335;25;
1116;2252;17;114;167;138;
1117;2252;122;172;55;267;
1118;2252;286;246;257;255;
1119;2252;173;501;216;978;
1120;2252;195;136;147;183;
1121;2252;91;156;465;137;
1122;2252;31;51;844;253;
1123;2252;328;208;294;699;
1124;2252;74;49;44;156;
1125;2252;3;213;64;209;
1126;2252;263;153;200;114;
1127;2252;107;27;47;243;
1128;2252;249;201;110;1043;
1129;2260;136;156;233;239;
1130;2260;128;1089;244;346;
1131;2264;144;647;262;1168;
1132;2270;31;42;920;389;
1133;2270;21;49;181;75;
1134;2287;547;666;874;991;
1135;2287;51;63;29;39;
1136;2290;46;283;94;157;
1137;2290;578;526;1219;918;
1138;2290;503;1272;1355;925;
1139;2290;147;210;114;115;
1140;2290;62;137;211;7;
1141;2290;581;1096;1131;953;
1142;2290;202;164;81;1362;
1143;2290;1165;1213;418;594;
1144;2290;168;128;197;156;
1145;2290;124;113;94;117;
1146;2300;109;291;335;826;
1147;2300;288;132;59;416;
1148;2300;58;45;213;217;
1149;2300;31;163;71;330;
1150;2300;149;78;41;74;
1151;2300;153;14;123;38;
1152;2300;297;129;89;592;
1153;2300;277;120;30;508;
1154;2300;46;138;280;93;
1155;2300;132;189;149;142;
1156;2300;69;170;414;246;
1157;2300;63;36;4;108;
1158;2300;47;10;169;47;
1159;2300;63;472;194;400;
1160;2300;8;349;103;246;
1161;2300;1150;462;1367;424;
1162;2300;138;154;88;30;
1163;2300;48;179;454;1396;
1164;2300;131;57;25;97;
1165;2300;68;45;887;177;
1166;2300;180;102;200;283;
1167;2300;9;4;32;206;
1168;2300;48;69;3;217;
1169;2300;55;171;85;197;
1170;2300;1205;1227;1030;984;
1171;2300;196;99;707;139;
1172;2300;1082;1364;711;619;
1173;2300;93;180;38;200;
1174;2300;18;50;85;241;
1175;2306;164;109;188;42;
1176;2307;1225;1321;547;797;
1177;2309;186;43;29;1397;
1178;2309;58;1;47;176;
1179;2309;21;190;187;27;
1180;2320;675;494;1005;1146;
1181;2320;171;148;82;287;
1182;2320;29;340;52;262;
1183;2322;17;258;92;262;
1184;2326;91;43;275;187;
1185;2327;1045;488;638;1039;
1186;2327;168;28;160;266;
1187;2327;1228;1380;921;640;
1188;2327;74;184;118;39;
1189;2327;176;174;212;138;
1190;2327;17;21;93;61;
1191;2327;19;91;262;202;
1192;2327;845;779;521;509;
1193;2327;68;100;149;197;
1194;2327;805;1211;1092;677;
1195;2327;75;126;447;52;
1196;2327;989;712;881;860;
1197;2327;79;100;59;13;
1198;2327;91;265;1038;304;
1199;2327;45;82;209;110;
1200;2327;13;37;174;112;
1201;2328;70;130;179;139;
1202;2329;118;371;298;1263;
1203;2342;7;188;71;1218;
1204;2346;50;107;57;137;
1205;2346;158;60;101;10;
1206;2350;1328;763;737;409;
1207;2350;108;109;341;294;
1208;2350;153;82;276;347;
1209;2350;50;178;1314;151;
1210;2350;87;14;93;82;
1211;2350;1140;454;834;601;
1212;2350;165;185;123;10;
1213;2350;58;153;157;220;
1214;2350;83;48;97;165;
1215;2350;103;132;124;473;
1216;2350;1378;1245;513;670;
1217;2350;26;44;96;160;
1218;2360;510;640;757;768;
1219;2360;595;1316;1228;1048;
1220;2360;62;4;220;81;
1221;2365;7;44;316;108;
1222;2365;26;90;165;3;
1223;2365;163;131;269;237;
1224;2365;153;38;177;161;
1225;2365;13;36;796;151;
1226;2367;5;117;56;156;
1227;2367;64;113;17;159;
1228;2367;82;109;33;144;
1229;2368;608;1187;623;884;
1230;2377;758;959;1246;943;
1231;2378;898;618;877;929;
1232;2380;147;33;175;299;
1233;2386;74;253;379;315;
1234;2387;115;12;266;1355;
1235;2388;73;37;25;172;
1236;2390;654;997;678;1348;
1237;2390;374;264;149;1330;
1238;2391;91;4;49;77;
1239;2399;28;46;261;242;
1240;2400;512;697;513;606;
1241;2400;212;173;7;386;
1242;2400;35;147;349;212;
1243;2400;69;105;74;83;
1244;2400;134;296;339;269;
1245;2400;193;174;42;161;
1246;2400;1297;604;419;883;
1247;2400;72;105;1;131;
1248;2400;83;112;115;982;
1249;2400;45;84;179;217;
1250;2400;63;16;60;186;
1251;2400;21;168;134;145;
1252;2400;93;53;243;104;
1253;2400;25;279;16;78;
1254;2400;48;85;354;154;
1255;2400;22;283;393;76;
1256;2400;50;5;11;140;
1257;2400;25;81;87;92;
1258;2400;55;109;121;63;
1259;2401;59;98;92;153;
1260;2403;80;80;368;125;
1261;2403;74;199;27;10;
1262;2403;33;140;356;248;
1263;2403;88;287;6;168;
1264;2403;1254;1028;938;548;
1265;2403;25;40;262;272;
1266;2417;56;108;113;179;
1267;2419;207;156;341;349;
1268;2419;721;644;791;580;
1269;2421;98;134;258;55;
1270;2421;95;130;3;125;
1271;2421;153;184;164;177;
1272;2430;43;138;98;179;
1273;2430;190;851;15;210;
1274;2434;18;74;315;138;
1275;2436;652;1085;599;710;
1276;2440;89;152;162;134;
1277;2440;840;663;1283;1362;
1278;2440;822;925;989;908;
1279;2440;39;125;195;53;
1280;2440;105;181;838;115;
1281;2440;620;482;710;1365;
1282;2440;109;121;23;375;
1283;2440;99;58;26;263;
1284;2440;56;27;198;35;
1285;2440;623;895;820;756;
1286;2440;259;237;133;210;
1287;2440;33;82;106;38;
1288;2440;10;166;119;20;
1289;2440;69;30;99;15;
1290;2440;1286;1065;1014;697;
1291;2440;130;22;319;281;
1292;2440;177;187;379;191;
1293;2440;72;136;670;150;
1294;2440;77;146;751;189;
1295;2440;191;44;172;364;
1296;2440;304;6;245;1257;
1297;2440;98;180;24;19;
1298;2440;584;508;1071;1321;
1299;2440;4;156;300;58;
1300;2440;685;1154;1115;1145;
1301;2440;67;84;213;243;
1302;2440;148;264;108;309;
1303;2440;148;32;1072;818;
1304;2440;76;212;126;348;
1305;2440;471;1344;981;982;
1306;2440;2;166;1385;105;
1307;2440;54;173;138;173;
1308;2440;60;107;185;21;
1309;2440;58;106;209;92;
1310;2440;163;127;2;157;
1311;2440;129;47;87;164;
1312;2440;89;129;259;223;
1313;2440;413;693;978;649;
1314;2440;93;159;21;142;
1315;2440;28;48;52;187;
1316;2440;35;192;77;135;
1317;2440;54;116;147;106;
1318;2440;34;189;37;190;
1319;2440;126;151;711;177;
1320;2446;222;328;131;200;
1321;2447;113;302;333;1221;
1322;2450;573;1056;901;1316;
1323;2450;701;447;406;720;
1324;2450;82;44;7;80;
1325;2450;84;255;64;34;
1326;2450;29;241;84;16;
1327;2450;173;248;990;199;
1328;2450;57;53;280;261;
1329;2450;68;14;164;5;
1330;2450;87;58;367;110;
1331;2450;124;28;123;258;
1332;2450;124;148;256;182;
1333;2456;1366;508;984;544;
1334;2459;504;687;821;1013;
1335;2459;61;111;219;84;
1336;2459;4;340;109;330;
1337;2459;24;158;201;150;
1338;2459;7;258;688;658;
1339;2459;72;40;28;93;
1340;2459;55;48;175;115;
1341;2464;97;185;59;43;
1342;2470;47;243;207;297;
1343;2478;1010;1223;621;1022;
1344;2478;135;168;102;194;
1345;2478;19;21;356;678;
1346;2478;203;247;48;318;
1347;2478;81;111;144;25;
1348;2478;104;397;1099;159;
1349;2478;451;1390;519;1182;
1350;2478;69;152;145;70;
1351;2478;37;34;325;406;
1352;2478;169;308;375;747;
1353;2479;15;47;68;143;
1354;2485;127;272;204;288;
1355;2485;176;73;943;194;
1356;2490;167;186;216;163;
1357;2490;205;365;207;254;
1358;2490;521;601;653;1028;
1359;2490;180;159;15;273;
1360;2490;42;72;41;72;
1361;2495;127;38;1349;125;
1362;2496;103;29;115;303;
1363;2500;1396;870;1385;960;
1364;2500;31;16;58;32;
1365;2500;15;236;177;35;
1366;2500;928;854;1284;1290;
1367;2500;1;897;336;131;
1368;2500;29;83;472;196;
1369;2500;174;87;165;177;
1370;2500;132;136;187;285;
1371;2500;140;231;101;376;
1372;2500;106;200;248;124;
1373;2500;98;28;142;48;
1374;2500;32;73;21;81;
1375;2500;149;75;387;8;
1376;2500;135;216;12;250;
1377;2500;82;178;88;201;
1378;2500;77;25;505;265;
1379;2500;10;381;260;226;
1380;2500;35;219;22;46;
1381;2500;85;82;93;271;
1382;2500;731;1308;1257;782;
1383;2500;844;51;83;480;
1384;2500;39;90;156;88;
1385;2500;128;192;211;183;
1386;2504;270;297;283;232;
1387;2504;821;1377;695;701;
1388;2507;258;241;120;358;
1389;2508;184;99;27;68;
1390;2510;51;29;240;149;
1391;2515;927;1183;1021;925;
1392;2515;1231;1339;666;554;
1393;2515;21;18;377;148;
1394;2515;728;705;963;823;
1395;2515;1149;427;788;1138;
1396;2515;144;197;91;136;
1397;2515;15;161;84;194;
1398;2515;61;81;106;85;
1399;2515;33;105;77;93;
1400;2515;709;1349;1209;1364;
1401;2515;770;249;397;505;
1402;2515;12;156;66;176;
1403;2515;34;353;59;344;
1404;2515;117;69;255;163;
1405;2520;58;37;341;515;
1406;2520;89;42;307;340;
1407;2520;135;199;108;308;
1408;2525;658;884;880;1062;
1409;2530;266;300;74;1368;
1410;2530;237;297;71;876;
1411;2534;39;41;10;102;
1412;2534;855;643;1398;692;
1413;2534;788;725;1132;464;
1414;2534;40;44;73;280;
1415;2535;235;278;77;253;
1416;2538;925;497;1223;478;
1417;2540;34;2;123;95;
1418;2550;1179;1124;519;541;
1419;2550;1379;1181;994;1319;
1420;2550;164;130;238;277;
1421;2550;172;17;285;359;
1422;2550;18;2;70;291;
1423;2550;655;529;1025;528;
1424;2550;921;708;923;1056;
1425;2550;15;141;175;167;
1426;2550;69;9;286;233;
1427;2550;59;150;58;130;
1428;2550;146;185;152;309;
1429;2550;34;155;155;147;
1430;2550;1148;617;621;1153;
1431;2552;479;421;784;1287;
1432;2553;61;72;167;6;
1433;2553;37;54;161;41;
1434;2553;89;180;996;164;
1435;2553;127;291;110;131;
1436;2553;161;196;105;157;
1437;2553;148;117;374;271;
1438;2553;142;136;124;112;
1439;2553;47;189;1168;225;
1440;2553;70;372;159;248;
1441;2553;48;2;21;48;
1442;2553;854;446;482;617;
1443;2560;84;38;190;82;
1444;2567;65;170;195;174;
1445;2569;1377;921;974;598;
1446;2569;146;50;958;181;
1447;2570;1248;989;455;744;
1448;2571;22;64;196;135;
1449;2571;103;171;73;79;
1450;2578;460;1001;699;604;
1451;2587;946;700;738;817;
1452;2590;19;87;78;190;
1453;2590;192;243;251;329;
1454;2590;22;32;65;244;
1455;2590;40;61;5;111;
1456;2590;1384;500;1066;445;
1457;2590;83;180;45;285;
1458;2590;44;179;70;63;
1459;2590;113;88;1145;150;
1460;2590;719;1379;1218;975;
1461;2600;58;271;75;93;
1462;2600;52;380;357;1323;
1463;2600;310;310;1119;303;
1464;2600;162;545;278;384;
1465;2600;158;108;150;333;
1466;2600;17;46;70;269;
1467;2600;527;1131;1390;1089;
1468;2600;1173;859;433;1121;
1469;2600;45;70;77;143;
1470;2600;107;133;25;134;
1471;2600;76;85;8;207;
1472;2600;47;227;57;20;
1473;2600;894;836;1004;1394;
1474;2600;94;227;18;253;
1475;2600;2;124;150;177;
1476;2600;595;480;857;792;
1477;2600;38;51;81;92;
1478;2600;1185;590;466;1058;
1479;2600;178;34;286;313;
1480;2600;31;35;139;24;
1481;2605;1080;747;529;1011;
1482;2609;92;172;998;183;
1483;2609;146;113;197;312;
1484;2609;56;110;37;224;
1485;2613;239;113;151;304;
1486;2615;458;1076;780;1011;
1487;2620;189;25;577;80;
1488;2620;117;141;300;183;
1489;2624;557;1360;802;492;
1490;2628;181;184;454;185;
1491;2628;58;65;47;111;
1492;2628;168;265;355;315;
1493;2628;54;76;113;159;
1494;2628;149;110;261;166;
1495;2628;29;327;232;155;
1496;2628;12;32;36;270;
1497;2628;189;189;129;112;
1498;2628;90;155;806;78;
1499;2628;141;353;75;209;
1500;2628;19;321;225;175;
1501;2628;93;111;106;101;
1502;2628;64;55;84;376;
1503;2628;86;14;7;253;
1504;2628;187;113;131;154;
1505;2628;21;90;688;1221;
1506;2628;456;1361;588;979;
1507;2628;164;126;191;388;
1508;2628;257;341;1274;1061;
1509;2628;1168;838;854;439;
1510;2628;181;17;639;52;
1511;2628;38;396;51;345;
1512;2628;44;259;149;100;
1513;2630;45;115;86;344;
1514;2630;146;227;308;922;
1515;2635;128;174;269;182;
1516;2646;8;336;338;79;
1517;2648;204;156;131;81;
1518;2648;283;29;162;1297;
1519;2650;88;52;12;50;
1520;2650;233;302;233;205;
1521;2650;69;155;911;90;
1522;2650;163;185;98;221;
1523;2650;110;108;20;91;
1524;2650;165;22;86;84;
1525;2650;20;116;23;26;
1526;2650;138;64;88;46;
1527;2654;364;11;342;481;
1528;2654;94;54;119;196;
1529;2654;99;48;197;174;
1530;2665;92;88;120;181;
1531;2665;183;116;1099;163;
1532;2665;1;88;301;307;
1533;2665;90;114;172;278;
1534;2665;46;253;146;1266;
1535;2670;818;1230;1160;1282;
1536;2670;216;141;80;213;
1537;2671;235;93;158;300;
1538;2675;71;150;202;172;
1539;2676;46;334;1152;641;
1540;2676;79;177;26;189;
1541;2680;89;80;287;122;
1542;2680;87;75;267;132;
1543;2680;1337;1113;1308;952;
1544;2684;36;100;64;138;
1545;2684;152;176;350;377;
1546;2690;1098;665;1221;1361;
1547;2690;503;644;1378;1275;
1548;2690;25;232;177;268;
1549;2692;121;304;947;183;
1550;2700;1259;891;1113;1177;
1551;2700;67;97;40;96;
1552;2700;17;56;295;135;
1553;2700;20;73;257;164;
1554;2700;27;63;63;192;
1555;2700;39;73;111;168;
1556;2700;86;151;370;14;
1557;2700;265;200;165;370;
1558;2700;140;164;91;144;
1559;2700;46;114;195;193;
1560;2700;89;181;139;127;
1561;2700;125;39;183;321;
1562;2700;176;146;811;328;
1563;2700;125;121;14;172;
1564;2700;95;147;140;98;
1565;2700;100;174;194;186;
1566;2700;59;113;400;375;
1567;2700;168;14;143;279;
1568;2700;34;109;169;24;
1569;2700;20;102;196;146;
1570;2702;106;299;290;39;
1571;2703;157;215;174;155;
1572;2703;15;129;35;174;
1573;2703;852;1232;947;1398;
1574;2703;120;30;208;81;
1575;2703;68;133;105;20;
1576;2703;151;61;372;261;
1577;2703;77;121;29;55;
1578;2703;194;63;248;323;
1579;2703;309;235;696;891;
1580;2703;22;26;309;392;
1581;2703;789;579;589;908;
1582;2703;55;147;313;560;
1583;2703;88;306;87;307;
1584;2703;24;88;185;135;
1585;2703;56;90;115;141;
1586;2705;89;57;355;371;
1587;2712;53;127;310;221;
1588;2720;1100;647;820;409;
1589;2720;17;17;161;33;
1590;2722;90;2;35;109;
1591;2722;90;156;368;60;
1592;2725;97;253;247;129;
1593;2730;1390;1092;962;613;
1594;2736;1031;544;788;605;
1595;2740;80;157;368;299;
1596;2740;720;545;1089;1323;
1597;2740;84;6;83;273;
1598;2740;23;82;86;205;
1599;2740;127;186;4;160;
1600;2740;15;6;13;271;
1601;2740;5;96;160;45;
1602;2740;37;224;133;232;
1603;2740;81;160;231;181;
1604;2740;7;130;184;277;
1605;2740;87;36;133;16;
1606;2740;119;85;119;193;
1607;2750;283;617;1263;282;
1608;2750;1195;562;1062;1105;
1609;2750;155;107;197;139;
1610;2750;778;779;1298;659;
1611;2750;609;962;469;657;
1612;2750;57;50;52;228;
1613;2750;124;145;198;986;
1614;2750;34;116;198;102;
1615;2750;91;35;84;81;
1616;2750;254;168;212;19;
1617;2750;94;164;167;4;
1618;2750;86;23;23;164;
1619;2750;6;48;11;273;
1620;2750;94;95;66;214;
1621;2750;49;64;61;216;
1622;2750;117;264;50;216;
1623;2759;64;18;73;56;
1624;2759;181;143;155;353;
1625;2759;189;76;268;1325;
1626;2764;1135;946;1179;583;
1627;2766;700;636;1260;832;
1628;2767;142;233;437;206;
1629;2770;164;158;145;96;
1630;2770;44;32;312;228;
1631;2774;224;313;210;298;
1632;2775;705;731;1282;615;
1633;2778;2;42;202;20;
1634;2778;103;1;123;1293;
1635;2778;51;44;352;744;
1636;2778;31;1131;81;39;
1637;2778;9;71;268;631;
1638;2778;186;99;78;231;
1639;2778;106;114;130;1338;
1640;2778;73;169;43;414;
1641;2778;278;277;276;205;
1642;2778;8;226;119;265;
1643;2778;30;70;293;397;
1644;2778;602;540;553;905;
1645;2788;78;196;12;146;
1646;2790;9;47;96;666;
1647;2790;159;185;249;248;
1648;2793;239;244;175;144;
1649;2797;16;92;1151;138;
1650;2798;878;546;1278;523;
1651;2800;34;158;166;875;
1652;2800;143;90;821;139;
1653;2800;36;114;152;1391;
1654;2800;60;383;292;91;
1655;2800;196;63;587;129;
1656;2800;737;1181;1330;982;
1657;2800;166;129;18;113;
1658;2800;175;219;317;176;
1659;2800;192;51;103;290;
1660;2800;9;107;39;7;
1661;2800;111;157;312;121;
1662;2800;99;133;11;131;
1663;2800;849;247;360;1118;
1664;2800;5;59;362;172;
1665;2800;2;78;109;182;
1666;2800;100;43;37;90;
1667;2800;44;123;129;6;
1668;2800;134;380;54;1302;
1669;2800;183;296;239;39;
1670;2800;57;195;396;319;
1671;2800;4;196;161;81;
1672;2800;167;133;110;296;
1673;2800;126;132;1041;18;
1674;2800;105;42;1259;155;
1675;2800;31;157;118;1045;
1676;2800;64;9;159;75;
1677;2807;1275;932;604;1247;
1678;2810;56;69;146;92;
1679;2810;13;65;146;14;
1680;2812;60;149;49;11;
1681;2815;29;54;281;383;
1682;2815;195;99;862;126;
1683;2815;11;172;1028;162;
1684;2815;17;347;866;996;
1685;2815;30;200;77;85;
1686;2815;107;109;143;254;
1687;2815;93;78;16;253;
1688;2815;76;187;84;48;
1689;2815;8;157;243;155;
1690;2815;1020;1297;1288;409;
1691;2815;5;223;41;71;
1692;2815;1016;1035;1039;629;
1693;2815;150;75;200;146;
1694;2815;160;64;15;13;
1695;2815;439;422;705;1223;
1696;2815;84;194;150;214;
1697;2815;4;22;121;47;
1698;2815;660;1145;1367;755;
1699;2815;446;828;1160;1287;
1700;2815;2;193;243;1314;
1701;2815;95;46;141;45;
1702;2815;6;200;378;794;
1703;2815;37;271;100;327;
1704;2815;45;339;676;467;
1705;2815;25;19;93;225;
1706;2815;67;254;38;396;
1707;2815;1279;1393;947;1300;
1708;2817;144;21;166;124;
1709;2817;202;101;142;367;
1710;2819;129;17;397;44;
1711;2820;733;1188;1176;703;
1712;2820;182;146;114;5;
1713;2820;162;189;86;316;
1714;2820;54;183;299;132;
1715;2821;237;82;134;330;
1716;2823;161;167;292;156;
1717;2825;69;126;284;168;
1718;2830;873;111;228;1271;
1719;2830;1329;834;1273;1188;
1720;2830;72;363;44;34;
1721;2834;12;300;34;47;
1722;2834;258;48;581;46;
1723;2835;151;148;146;160;
1724;2837;180;40;13;271;
1725;2838;98;119;1302;989;
1726;2840;134;43;51;286;
1727;2842;30;204;693;85;
1728;2850;819;1330;443;791;
1729;2850;67;104;281;374;
1730;2850;1161;673;1094;1157;
1731;2850;190;89;298;155;
1732;2850;51;90;129;195;
1733;2850;17;255;96;122;
1734;2850;67;9;104;76;
1735;2850;68;196;139;95;
1736;2850;14;72;178;130;
1737;2850;30;142;97;80;
1738;2850;33;1;282;217;
1739;2850;109;99;216;42;
1740;2850;1357;1283;973;615;
1741;2850;637;1184;1343;543;
1742;2850;156;330;365;44;
1743;2850;99;143;398;296;
1744;2850;19;88;195;153;
1745;2852;1111;1244;1061;872;
1746;2853;12;77;303;59;
1747;2853;145;155;181;205;
1748;2853;568;1327;522;644;
1749;2853;106;105;106;230;
1750;2853;1092;434;974;745;
1751;2855;42;130;221;215;
1752;2856;1155;1082;520;690;
1753;2860;42;189;74;57;
1754;2860;39;259;49;13;
1755;2865;188;135;51;193;
1756;2872;128;191;223;536;
1757;2872;27;256;33;206;
1758;2872;34;180;75;103;
1759;2882;68;65;1068;247;
1760;2883;104;181;119;954;
1761;2883;183;126;106;777;
1762;2890;143;163;76;345;
1763;2890;142;44;282;53;
1764;2890;839;700;1190;725;
1765;2890;195;54;195;307;
1766;2890;1197;1055;761;1008;
1767;2890;296;738;351;364;
1768;2890;16;24;851;902;
1769;2890;31;106;26;92;
1770;2890;33;154;88;252;
1771;2890;147;127;176;281;
1772;2890;231;69;16;114;
1773;2890;139;161;268;123;
1774;2898;77;64;129;149;
1775;2900;955;574;902;1101;
1776;2900;19;9;237;206;
1777;2900;187;102;104;260;
1778;2900;1164;1184;940;796;
1779;2900;35;265;231;340;
1780;2900;2;114;278;335;
1781;2900;985;580;952;965;
1782;2900;163;193;202;218;
1783;2900;87;114;334;24;
1784;2900;100;47;3;64;
1785;2900;197;144;108;101;
1786;2900;91;91;306;191;
1787;2900;22;8;1001;106;
1788;2900;576;675;750;795;
1789;2900;46;147;178;93;
1790;2900;64;63;15;207;
1791;2900;561;1258;1001;724;
1792;2900;1351;419;1016;746;
1793;2900;82;144;81;14;
1794;2900;936;550;750;700;
1795;2900;282;286;115;747;
1796;2900;130;117;24;228;
1797;2909;67;198;255;372;
1798;2909;170;83;149;166;
1799;2910;26;38;23;90;
1800;2916;991;1176;801;655;
1801;2924;188;279;264;95;
1802;2924;1;91;110;237;
1803;2928;32;94;20;62;
1804;2928;58;140;803;110;
1805;2928;158;266;314;119;
1806;2928;396;37;236;133;
1807;2928;15;176;333;124;
1808;2928;80;36;97;250;
1809;2928;70;119;43;153;
1810;2928;83;182;188;41;
1811;2928;711;851;550;1109;
1812;2928;13;197;676;298;
1813;2928;196;6;910;186;
1814;2928;260;155;279;383;
1815;2928;9;125;1109;57;
1816;2930;499;1121;1196;627;
1817;2930;13;101;227;1229;
1818;2932;84;56;283;17;
1819;2936;1346;800;990;453;
1820;2943;94;76;306;71;
1821;2943;15;22;134;15;
1822;2947;861;1000;887;506;
1823;2950;177;83;160;112;
1824;2950;20;1;136;85;
1825;2950;56;77;1235;296;
1826;2950;27;70;695;266;
1827;2950;766;1396;645;416;
1828;2950;491;1311;919;700;
1829;2950;5;12;487;236;
1830;2957;42;174;85;105;
1831;2960;901;938;518;427;
1832;2960;172;15;33;86;
1833;2962;88;81;291;150;
1834;2962;17;98;32;32;
1835;2965;590;905;568;1065;
1836;2965;131;123;133;251;
1837;2965;98;181;66;152;
1838;2965;61;199;346;594;
1839;2970;166;189;84;107;
1840;2970;85;128;369;769;
1841;2970;5;104;181;26;
1842;2980;6;208;6;16;
1843;2980;73;269;1162;729;
1844;2980;156;137;135;270;
1845;2980;35;171;169;274;
1846;2980;95;131;80;69;
1847;2984;67;521;642;200;
1848;2984;44;18;361;313;
1849;2984;171;270;390;149;
